Direction,Year,Date,Weekday,Country,Commodity,Transport_Mode,Measure,Value,Cumulative
Exports,2015,01/01/2015,Thursday,All,All,All,$,104000000,104000000
Exports,2015,02/01/2015,Friday,All,All,All,$,96000000,200000000
Exports,2015,03/01/2015,Saturday,All,All,All,$,61000000,262000000
Exports,2015,04/01/2015,Sunday,All,All,All,$,74000000,336000000
Exports,2015,05/01/2015,Monday,All,All,All,$,105000000,442000000
Exports,2015,06/01/2015,Tuesday,All,All,All,$,76000000,518000000
Exports,2015,07/01/2015,Wednesday,All,All,All,$,59000000,577000000
Exports,2015,08/01/2015,Thursday,All,All,All,$,111000000,688000000
Exports,2015,09/01/2015,Friday,All,All,All,$,98000000,786000000
Exports,2015,10/01/2015,Saturday,All,All,All,$,89000000,875000000
Exports,2015,11/01/2015,Sunday,All,All,All,$,111000000,986000000
Exports,2015,12/01/2015,Monday,All,All,All,$,161000000,1147000000
Exports,2015,13/01/2015,Tuesday,All,All,All,$,96000000,1242000000
Exports,2015,14/01/2015,Wednesday,All,All,All,$,83000000,1325000000
Exports,2015,15/01/2015,Thursday,All,All,All,$,109000000,1434000000
Exports,2015,16/01/2015,Friday,All,All,All,$,155000000,1589000000
Exports,2015,17/01/2015,Saturday,All,All,All,$,168000000,1757000000
Exports,2015,18/01/2015,Sunday,All,All,All,$,90000000,1847000000
Exports,2015,19/01/2015,Monday,All,All,All,$,164000000,2011000000
Exports,2015,20/01/2015,Tuesday,All,All,All,$,134000000,2145000000
Exports,2015,21/01/2015,Wednesday,All,All,All,$,76000000,2221000000
Exports,2015,22/01/2015,Thursday,All,All,All,$,164000000,2385000000
Exports,2015,23/01/2015,Friday,All,All,All,$,139000000,2525000000
Exports,2015,24/01/2015,Saturday,All,All,All,$,170000000,2695000000
Exports,2015,25/01/2015,Sunday,All,All,All,$,119000000,2814000000
Exports,2015,26/01/2015,Monday,All,All,All,$,150000000,2965000000
Exports,2015,27/01/2015,Tuesday,All,All,All,$,106000000,3071000000
Exports,2015,28/01/2015,Wednesday,All,All,All,$,95000000,3165000000
Exports,2015,29/01/2015,Thursday,All,All,All,$,133000000,3299000000
Exports,2015,30/01/2015,Friday,All,All,All,$,125000000,3423000000
Exports,2015,31/01/2015,Saturday,All,All,All,$,257000000,3681000000
Exports,2015,01/02/2015,Sunday,All,All,All,$,123000000,3804000000
Exports,2015,02/02/2015,Monday,All,All,All,$,176000000,3980000000
Exports,2015,03/02/2015,Tuesday,All,All,All,$,115000000,4094000000
Exports,2015,04/02/2015,Wednesday,All,All,All,$,74000000,4169000000
Exports,2015,05/02/2015,Thursday,All,All,All,$,119000000,4288000000
Exports,2015,06/02/2015,Friday,All,All,All,$,127000000,4415000000
Exports,2015,07/02/2015,Saturday,All,All,All,$,206000000,4621000000
Exports,2015,08/02/2015,Sunday,All,All,All,$,114000000,4735000000
Exports,2015,09/02/2015,Monday,All,All,All,$,202000000,4937000000
Exports,2015,10/02/2015,Tuesday,All,All,All,$,88000000,5025000000
Exports,2015,11/02/2015,Wednesday,All,All,All,$,67000000,5092000000
Exports,2015,12/02/2015,Thursday,All,All,All,$,132000000,5224000000
Exports,2015,13/02/2015,Friday,All,All,All,$,143000000,5367000000
